City,2019,2020,2021
"Jefferson City, MO",44668,48551.0,51286.0
"Johnson City, TN",41712,44767.0,48257.0
"Johnstown, PA",43120,46609.0,49472.0
"Jonesboro, AR",38086,41439.0,44554.0
"Joplin, MO",39800,41646.0,44292.0
"Kahului-Wailuku-Lahaina, HI",52301,53586.0,58520.0
"Kalamazoo-Portage, MI",50835,54954.0,58524.0
"Kankakee, IL",43515,47846.0,53165.0
"Kansas City, MO-KS",55300,58145.0,61410.0
"Kennewick-Richland, WA",45599,48979.0,52082.0
"Killeen-Temple, TX",42265,44892.0,47755.0
"Kingsport-Bristol, TN-VA",40968,43835.0,47287.0
"Kingston, NY",53426,57057.0,60557.0
"Knoxville, TN",48813,52083.0,55752.0
"Kokomo, IN",41863,44266.0,47031.0
"La Crosse-Onalaska, WI-MN",51497,54701.0,58414.0
"Lafayette, LA",45588,49332.0,52241.0
"Lafayette-West Lafayette, IN",41571,43955.0,46968.0
"Lake Charles, LA",46117,47312.0,51080.0
"Lake Havasu City-Kingman, AZ",35647,38717.0,41331.0
"Lakeland-Winter Haven, FL",38196,40970.0,43556.0
"Lancaster, PA",54061,58214.0,61547.0
"Lansing-East Lansing, MI",43178,47460.0,50326.0
"Laredo, TX",34757,37273.0,40850.0
"Las Cruces, NM",38142,41597.0,45045.0
"Las Vegas-Henderson-Paradise, NV",51012,53562.0,58276.0
"Lawrence, KS",46612,49290.0,51703.0
"Lawton, OK",42622,45515.0,47807.0
"Lebanon, PA",48912,52399.0,55803.0
"Lewiston, ID-WA",45752,49378.0,52572.0
"Lewiston-Auburn, ME",42075,46144.0,49766.0
"Lexington-Fayette, KY",50708,54041.0,57519.0
"Lima, OH",43618,47314.0,50353.0
"Lincoln, NE",51034,53917.0,56887.0
"Little Rock-North Little Rock-Conway, AR",47177,50247.0,53158.0
"Logan, UT-ID",40666,42943.0,46903.0
"Longview, TX",44068,45896.0,48868.0
"Longview, WA",46108,49882.0,54550.0
"Los Angeles-Long Beach-Anaheim, CA",65006,70280.0,75821.0
"Louisville/Jefferson County, KY-IN",51779,55356.0,59425.0
"Lubbock, TX",45637,47822.0,51045.0
"Lynchburg, VA",41365,44598.0,47374.0
"Macon-Bibb County, GA",40676,43725.0,46875.0
"Madera, CA",39388,44072.0,45757.0
"Madison, WI",61665,64799.0,69116.0
"Manchester-Nashua, NH",63263,67127.0,71849.0
"Manhattan, KS",46208,48885.0,51163.0
"Mankato, MN",47120,50632.0,53543.0
"Mansfield, OH",39903,43561.0,46366.0
"McAllen-Edinburg-Mission, TX",28256,31342.0,34503.0
"Medford, OR",47774,52410.0,56842.0
"Memphis, TN-MS-AR",48680,52023.0,56568.0
"Merced, CA",38626,43980.0,46580.0
"Miami-Fort Lauderdale-Pompano Beach, FL",63610,66307.0,73522.0
"Michigan City-La Porte, IN",42076,45323.0,49508.0
"Midland, MI",54951,58544.0,62055.0
"Midland, TX",141994,109263.0,125455.0
"Milwaukee-Waukesha, WI",58192,61378.0,65803.0
"Minneapolis-St. Paul-Bloomington, MN-WI",64496,67688.0,71912.0
"Missoula, MT",53992,57895.0,61881.0
"Mobile, AL",39416,42795.0,46402.0
"Modesto, CA",43729,49128.0,52356.0
"Monroe, LA",39956,43606.0,46859.0
"Monroe, MI",47726,50472.0,53509.0
"Montgomery, AL",43084,46139.0,49310.0
"Morgantown, WV",45465,47467.0,50016.0
"Morristown, TN",38103,41036.0,44279.0
"Mount Vernon-Anacortes, WA",54843,58996.0,64093.0
"Muncie, IN",38762,42000.0,45325.0
"Muskegon, MI",39646,44159.0,46701.0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",43777,46619.0,49234.0
"Napa, CA",74379,82643.0,90608.0
"Naples-Marco Island, FL",110272,112479.0,117984.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",61366,64368.0,70026.0
"New Bern, NC",46182,49815.0,53762.0
"New Haven-Milford, CT",56888,60128.0,64643.0
"New Orleans-Metairie, LA",55050,57532.0,61327.0
"New York-Newark-Jersey City, NY-NJ-PA",74968,78727.0,85136.0
"Niles, MI",49735,54303.0,59656.0
"North Port-Sarasota-Bradenton, FL",63279,65709.0,69376.0
