2019,2020,2021,prediction_mean,State/Province_x,City_State,Count,City,Longitude,Latitude,POPESTIMATE,POPEST_MALE,POPEST_FEMALE,UNDER5_TOTAL,UNDER5_MALE,UNDER5_FEMALE,AGE513_TOTAL,AGE513_MALE,AGE513_FEMALE,AGE1417_TOTAL,AGE1417_MALE,AGE1417_FEMALE,AGE1824_TOTAL,AGE1824_MALE,AGE1824_FEMALE,AGE16PLUS_TOTAL,AGE16PLUS_MALE,AGE16PLUS_FEMALE,AGE18PLUS_TOTAL,AGE18PLUS_MALE,AGE18PLUS_FEMALE,AGE1544_TOTAL,AGE1544_MALE,AGE1544_FEMALE,AGE2544_TOTAL,AGE2544_MALE,AGE2544_FEMALE,AGE4564_TOTAL,AGE4564_MALE,AGE4564_FEMALE,AGE65PLUS_TOTAL,AGE65PLUS_MALE,AGE65PLUS_FEMALE,AGE04_TOTAL,AGE04_MALE,AGE04_FEMALE,AGE59_TOTAL,AGE59_MALE,AGE59_FEMALE,AGE1014_TOTAL,AGE1014_MALE,AGE1014_FEMALE,AGE1519_TOTAL,AGE1519_MALE,AGE1519_FEMALE,AGE2024_TOTAL,AGE2024_MALE,AGE2024_FEMALE,AGE2529_TOTAL,AGE2529_MALE,AGE2529_FEMALE,AGE3034_TOTAL,AGE3034_MALE,AGE3034_FEMALE,AGE3539_TOTAL,AGE3539_MALE,AGE3539_FEMALE,AGE4044_TOTAL,AGE4044_MALE,AGE4044_FEMALE,AGE4549_TOTAL,AGE4549_MALE,AGE4549_FEMALE,AGE5054_TOTAL,AGE5054_MALE,AGE5054_FEMALE,AGE5559_TOTAL,AGE5559_MALE,AGE5559_FEMALE,AGE6064_TOTAL,AGE6064_MALE,AGE6064_FEMALE,AGE6569_TOTAL,AGE6569_MALE,AGE6569_FEMALE,AGE7074_TOTAL,AGE7074_MALE,AGE7074_FEMALE,AGE7579_TOTAL,AGE7579_MALE,AGE7579_FEMALE,AGE8084_TOTAL,AGE8084_MALE,AGE8084_FEMALE,AGE85PLUS_TOTAL,AGE85PLUS_MALE,AGE85PLUS_FEMALE,MEDIAN_AGE_TOTAL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE
49639,53102,56396,0.909668925,LA,"Baton Rouge, LA",10,Baton Rouge,-91.14,30.42,871905,426889,445016,53558,27304,26254,103408,52389,51019,46727,23776,22951,93777,46439,47338,691218,335046,356172,668212,323420,344792,364501,181473,183028,236014,117423,118591,206300,100994,105306,132121,58564,73557,53558,27304,26254,56838,28686,28152,58587,29868,28719,58677,29536,29141,69810,34514,35296,60101,30031,30070,59327,29599,29728,60540,30106,30434,56046,27687,28359,49253,24561,24692,51505,25476,26029,53352,26013,27339,52190,24944,27246,45575,21177,24398,37163,16960,20203,23238,10212,13026,14071,5843,8228,12074,4372,7702,36.6,35.7,37.5
40497,44796,47789,0.877309065,MI,"Battle Creek, MI",2,Battle Creek,-85.18,42.26,133819,65963,67856,7586,3894,3692,15563,8007,7556,7258,3803,3455,11692,5990,5702,107026,52173,54853,103412,50259,53153,49981,25044,24937,32875,16202,16673,34288,17041,17247,24557,11026,13531,7586,3894,3692,8535,4406,4129,8872,4552,4320,8840,4661,4179,8266,4181,4085,8351,4109,4242,8263,4059,4204,8093,3997,4096,8168,4037,4131,7690,3809,3881,8491,4254,4237,8865,4453,4412,9242,4525,4717,8197,3898,4299,6736,3173,3563,4154,1854,2300,2807,1181,1626,2663,920,1743,40.1,39,41.1
43230,47430,50396,0.90626333,MI,"Bay City, MI",1,Bay City,-83.89,43.62,102985,50978,52007,4870,2487,2383,10110,5272,4838,5267,2699,2568,7844,4052,3792,85386,41864,43522,82738,40520,42218,36600,18649,17951,24801,12580,12221,27999,13880,14119,22094,10008,12086,4870,2487,2383,5282,2711,2571,6140,3243,2897,6025,3127,2898,5774,2942,2832,6275,3209,3066,6370,3226,3144,6075,3098,2977,6081,3047,3034,5830,2927,2903,6630,3367,3263,7482,3680,3802,8057,3906,4151,7256,3471,3785,6017,2861,3156,3865,1787,2078,2539,1113,1426,2417,776,1641,43.8,42.4,45.4
41334,42783,46166,0.90493045,WV,"Beckley, WV",2,Beckley,-81.18,37.8,113698,57492,56206,5826,3033,2793,12338,6265,6073,5688,2891,2797,8377,4578,3799,92652,46713,45939,89846,45303,44543,39864,21194,18670,27260,14484,12776,29426,14902,14524,24783,11339,13444,5826,3033,2793,6608,3342,3266,7191,3682,3509,6554,3396,3158,6050,3314,2736,6513,3552,2961,6926,3721,3205,6420,3404,3016,7401,3807,3594,7414,3890,3524,7069,3706,3363,7022,3535,3487,7921,3771,4150,8078,3895,4183,7290,3534,3756,4291,1962,2329,2698,1146,1552,2426,802,1624,43.2,41.8,44.8
51683,54927,58137,0.890290915,WA,"Bellingham, WA",14,Bellingham,-122.47,48.73,228831,113539,115292,10580,5401,5179,22437,11624,10813,10081,5232,4849,30283,14745,15538,190712,93871,96841,185733,91282,94451,98607,49751,48856,60789,31070,29719,52723,26045,26678,41938,19422,22516,10580,5401,5179,12311,6384,5927,12672,6536,6136,15041,7503,7538,22777,11178,11599,16174,8334,7840,15311,7957,7354,15038,7601,7437,14266,7178,7088,12347,6258,6089,13077,6546,6531,13137,6393,6744,14162,6848,7314,13903,6545,7358,12335,5847,6488,7517,3533,3984,4346,1999,2347,3837,1498,2339,38.2,37.3,39.1
58666,63872,67743,0.914221425,OR,"Bend, OR",12,Bend,-121.26,44.06,204801,102222,102579,9720,5035,4685,20215,10384,9831,9697,5065,4632,13500,6949,6551,169941,84237,85704,165169,81738,83431,76848,39164,37684,56132,28436,27696,53431,26255,27176,42106,20098,22008,9720,5035,4685,10929,5578,5351,11767,6092,5675,11036,5806,5230,9680,4922,4758,12887,6597,6290,14410,7280,7130,14873,7507,7366,13962,7052,6910,12847,6576,6271,13094,6545,6549,12720,6145,6575,14770,6989,7781,14722,6927,7795,12411,6118,6293,7591,3727,3864,4164,2032,2132,3218,1294,1924,42.4,41.5,43.4
53437,56515,59698,0.881217075,MT,"Billings, MT",9,Billings,-108.58,45.76,187037,93098,93939,10311,5311,5000,22016,11386,10630,10298,5226,5072,14358,7278,7080,149462,73750,75712,144412,71175,73237,71709,36191,35518,49706,25052,24654,45880,22885,22995,34468,15960,18508,10311,5311,5000,11850,6135,5715,12819,6616,6203,11589,5857,5732,10414,5282,5132,12325,6211,6114,12621,6310,6311,12791,6475,6316,11969,6056,5913,10427,5247,5180,10841,5534,5307,11725,5791,5934,12887,6313,6574,11509,5563,5946,9611,4562,5049,5998,2837,3161,3658,1662,1996,3692,1336,2356,39.5,38.7,40.4
44318,48318,51295,0.8545845,NY,"Binghamton, NY",2,Binghamton,-75.9,42.14,245220,121720,123500,12015,6125,5890,24436,12652,11784,11570,5985,5585,31272,16182,15090,202995,99968,103027,197199,96958,100241,94573,48276,46297,54635,27600,27035,62173,30832,31341,49119,22344,26775,12015,6125,5890,13398,6941,6457,13942,7202,6740,17863,9350,8513,22075,11326,10749,14317,7292,7025,13261,6700,6561,13841,6917,6924,13216,6691,6525,12141,6041,6100,14618,7309,7309,17029,8349,8680,18385,9133,9252,15401,7662,7739,12703,6049,6654,8558,3874,4684,5870,2515,3355,6587,2244,4343,40.7,39.3,42.1
52310,55086,59107,0.909252285,AL,"Birmingham-Hoover, AL",21,Birmingham-Hoover,-86.85,33.36,1114262,537125,577137,65396,33538,31858,129320,65749,63571,59843,30324,29519,93210,45917,47293,889163,422382,466781,859703,407514,452189,433927,212031,221896,296297,143633,152664,282536,136439,146097,187660,81525,106135,65396,33538,31858,70005,35376,34629,74738,38216,36522,70750,35642,35108,66880,32756,34124,73623,35994,37629,76911,37334,39577,73432,35350,38082,72331,34955,37376,68730,33599,35131,70831,34686,36145,71341,34342,36999,71634,33812,37822,63507,29176,34331,52571,23646,28925,32283,14017,18266,20519,8391,12128,18780,6295,12485,39,37.8,40.1
58252,60766,64134,0.90494435,ND,"Bismarck, ND",4,Bismarck,-100.78,46.8,134417,67790,66627,8363,4343,4020,16359,8287,8072,7089,3587,3502,11346,5788,5558,106018,53289,52729,102606,51573,51033,53277,27748,25529,36716,19341,17375,31376,15893,15483,23168,10551,12617,8363,4343,4020,9125,4570,4555,9108,4685,4423,8695,4350,4345,7866,4057,3809,8753,4554,4199,9486,4946,4540,9795,5193,4602,8682,4648,4034,7361,3800,3561,7215,3760,3455,8041,4060,3981,8759,4273,4486,7736,3762,3974,6015,2919,3096,3830,1831,1999,2473,1015,1458,3114,1024,2090,38,37.3,38.7
38907,41322,44904,0.85193793,VA,"Blacksburg-Christiansburg, VA",6,Blacksburg-Christiansburg,-80.42,37.16,165293,83934,81359,6710,3402,3308,13511,6827,6684,6302,3255,3047,36184,19476,16708,141938,72111,69827,138770,70450,68320,78924,41777,37147,38069,19878,18191,37701,18932,18769,26816,12164,14652,6710,3402,3308,7404,3720,3684,7738,3939,3799,16201,8384,7817,24654,13515,11139,10790,5769,5021,9933,5157,4776,8916,4601,4315,8430,4351,4079,8986,4590,4396,9706,4963,4743,9763,4899,4864,9246,4480,4766,8827,4217,4610,7416,3452,3964,4885,2255,2630,3076,1360,1716,2612,880,1732,34.6,33,36.3
50152,55203,58503,0.909252285,IL,"Bloomington, IL",3,Bloomington,-88.95,40.5,170889,83419,87470,9257,4713,4544,18374,9296,9078,8523,4372,4151,29809,14004,15805,139014,67261,71753,134735,65038,69697,78705,38622,40083,42503,21322,21181,38163,18842,19321,24260,10870,13390,9257,4713,4544,10132,5122,5010,10372,5250,5122,14879,6992,7887,21323,10308,11015,11150,5630,5520,10347,5145,5202,10640,5344,5296,10366,5203,5163,9126,4590,4536,9528,4716,4812,9941,4860,5081,9568,4676,4892,8290,3862,4428,6654,3128,3526,4006,1846,2160,2591,1090,1501,2719,944,1775,34,33.6,34.4
45426,48386,51899,0.85620787,IN,"Bloomington, IN",7,Bloomington,-86.57,39.17,161321,80493,80828,6869,3530,3339,13225,6966,6259,6168,3159,3009,37901,18778,19123,138197,68421,69776,135059,66838,68221,82210,41724,40486,39665,20582,19083,33562,16618,16944,23931,10860,13071,6869,3530,3339,7246,3795,3451,7503,3966,3537,15660,7700,7960,26885,13442,13443,11737,6214,5523,10034,5243,4791,9039,4641,4398,8855,4484,4371,7765,3862,3903,8190,4094,4096,8624,4293,4331,8983,4369,4614,8240,3898,4342,6557,3109,3448,4068,1839,2229,2634,1144,1490,2432,870,1562,32.3,31.5,33.2
46588,50436,53309,0.89779128,PA,"Bloomsburg-Berwick, PA",6,Bloomsburg-Berwick,-81.52,31.22,113963,54266,59697,5937,2986,2951,11993,6089,5904,5778,2878,2900,8902,4580,4322,93131,43748,49383,90255,42313,47942,39552,19081,20471,26338,12351,13987,30518,14388,16130,24497,10994,13503,5937,2986,2951,6344,3133,3211,7115,3684,3431,6869,3481,3388,6345,3249,3096,6597,3189,3408,6653,3122,3531,6449,3010,3439,6639,3030,3609,6675,3205,3470,7407,3530,3877,8098,3833,4265,8338,3820,4518,7782,3542,4240,6995,3213,3782,4662,2154,2508,2737,1212,1525,2321,873,1448,43.5,42.1,44.7
44776,48311,51400,0.8545845,GA,"Brunswick, GA",4,Brunswick,-81.52,31.22,113963,54266,59697,5937,2986,2951,11993,6089,5904,5778,2878,2900,8902,4580,4322,93131,43748,49383,90255,42313,47942,39552,19081,20471,26338,12351,13987,30518,14388,16130,24497,10994,13503,5937,2986,2951,6344,3133,3211,7115,3684,3431,6869,3481,3388,6345,3249,3096,6597,3189,3408,6653,3122,3531,6449,3010,3439,6639,3030,3609,6675,3205,3470,7407,3530,3877,8098,3833,4265,8338,3820,4518,7782,3542,4240,6995,3213,3782,4662,2154,2508,2737,1212,1525,2321,873,1448,43.5,42.1,44.7
81126,86239,92290,0.72066523,MANH,"Boston-Cambridge-Newton, MA-NH",76,Boston-Cambridge-Newton,-71.21,42.31,4899932,2396924,2503008,246493,125942,120551,477316,244656,232660,230013,117528,112485,480482,235633,244849,4062412,1968202,2094210,3946110,1908798,2037312,2025716,1010799,1014917,1372162,686800,685362,1282774,628760,654014,810692,357605,453087,246493,125942,120551,259516,132596,126920,274741,141222,133519,316551,158191,158360,337003,165808,171195,361086,181861,179225,365514,183457,182057,340122,169811,170311,305440,151671,153769,290909,143517,147392,326419,160112,166307,342335,167930,174405,323111,157201,165910,267125,126512,140613,218092,99969,118123,140931,61967,78964,90097,36863,53234,94447,32294,62153,39.2,38.2,40.3
79698,83173,89593,0.8359563,CO,"Boulder, CO",15,Boulder,-105.25,40.03,329543,166604,162939,13066,6683,6383,30639,15770,14869,15944,8118,7826,47141,24386,22755,277933,140135,137798,269894,136033,133861,146751,76531,70220,87603,46016,41587,82662,41345,41317,52488,24286,28202,13066,6683,6383,16069,8222,7847,18507,9537,8970,26528,13398,13130,32620,17117,15503,23067,12418,10649,22274,11849,10425,21197,11172,10025,21065,10577,10488,20447,10242,10205,21454,10934,10520,20220,10000,10220,20541,10169,10372,18272,8798,9474,14933,7131,7802,8882,4164,4718,5335,2378,2957,5066,1815,3251,38,36.8,39.3
37772,40610,43282,0.92631785,KY,"Bowling Green, KY",5,Bowling Green,-86.47,36.96,182594,90559,92035,11136,5769,5367,20841,10503,10338,9604,4954,4650,24519,12179,12340,145815,71836,73979,141013,69333,71680,78298,39378,38920,46600,23482,23118,42923,21356,21567,26971,12316,14655,11136,5769,5367,11472,5768,5704,11794,5972,5822,14223,7064,7159,17475,8832,8643,12568,6510,6058,11654,5834,5820,11044,5531,5513,11334,5607,5727,10801,5476,5325,10642,5327,5315,11163,5555,5608,10317,4998,5319,9007,4261,4746,7534,3574,3960,4919,2286,2633,2996,1298,1698,2515,897,1618,35.4,34.6,36.3
58290,62308,67845,0.914221425,WA,"Bremerton-Silverdale-Port Orchard, WA",16,Bremerton-Silverdale-Port Orchard,-122.61,47.54,274314,140682,133632,14345,7406,6939,27783,14214,13569,12438,6300,6138,24418,14618,9800,225937,115904,110033,219748,112762,106986,109261,59604,49657,75589,40291,35298,67218,33474,33744,52523,24379,28144,14345,7406,6939,15361,7906,7455,15606,7913,7693,14781,7715,7066,18891,11598,7293,19821,11064,8757,19848,10488,9360,19143,10146,8997,16777,8593,8184,14375,7350,7025,16160,8096,8064,17872,8866,9006,18811,9162,9649,17717,8463,9254,15185,7177,8008,9714,4604,5110,5285,2432,2853,4622,1703,2919,39.8,38,41.9
116996,119366,127391,0.805120825,CT,"Bridgeport-Stamford-Norwalk, CT",11,Bridgeport-Stamford-Norwalk,-73.4,41.12,959768,470472,489296,50327,25584,24743,106190,53914,52276,54163,27572,26591,86017,43500,42517,776227,377190,399037,749088,363402,385686,361631,181650,179981,235003,117522,117481,269465,131845,137620,158603,70535,88068,50327,25584,24743,56004,28349,27655,63738,32509,31229,66597,33679,32918,60031,30449,29582,54968,28038,26930,56502,27966,28536,61397,30844,30553,62136,30674,31462,61596,30220,31376,69824,34340,35484,72320,35305,37015,65725,31980,33745,51498,24887,26611,39766,18225,21541,27969,12486,15483,18420,7646,10774,20950,7291,13659,40.8,39.7,41.9
30361,34040,37861,0.9452068,TX,"Brownsville-Harlingen, TX",7,Brownsville-Harlingen,-97.72,26.19,423029,208090,214939,30677,15564,15113,63632,32597,31035,29623,15165,14458,45973,23621,22352,314052,152358,161694,299097,144764,154333,171701,87090,84611,103418,52104,51314,90470,42653,47817,59236,26386,32850,30677,15564,15113,35018,17936,17082,35927,18461,17466,36281,18541,17740,32002,16445,15557,28453,14657,13796,25289,12721,12568,24397,12199,12198,25279,12527,12752,25641,12395,13246,23462,10976,12486,21261,9915,11346,20106,9367,10739,18460,8405,10055,15728,7232,8496,10971,4941,6030,7377,3213,4164,6700,2595,4105,32.5,30.9,34.2
49961,54462,56808,0.910390175,NY,"Buffalo-Cheektowaga, NY",8,Buffalo-Cheektowaga,-78.77,42.91,1162336,567653,594683,60541,30943,29598,118644,60542,58102,54765,27851,26914,101228,50868,50360,956001,462332,493669,928386,448317,480069,442942,222109,220833,300617,150377,150240,305620,149255,156365,220921,97817,123104,60541,30943,29598,65406,33402,32004,66906,34127,32779,70335,35627,34708,71990,36105,35885,76668,38580,38088,82304,41320,40984,75041,37425,37616,66604,33052,33552,62087,30803,31284,74745,36704,38041,82203,40043,42160,86585,41705,44880,73714,35325,38389,58723,27301,31422,37948,16683,21265,24503,9812,14691,26033,8696,17337,40.8,39.5,42.2
41493,44418,48118,0.877309065,NC,"Burlington-South Burlington, VT",4,"Burlington-South Burlington,",-79.48,36.08,173877,82930,90947,9872,5084,4788,19381,9965,9416,9138,4627,4511,18197,8543,9654,139985,65538,74447,135486,63254,72232,67299,32109,35190,42341,20145,22196,45128,21801,23327,29820,12765,17055,9872,5084,4788,10416,5409,5007,11342,5762,5580,13395,6467,6928,11563,5497,6066,10483,5042,5441,11437,5440,5997,10362,4871,5491,10059,4792,5267,10366,5009,5357,11560,5648,5912,11977,5801,6176,11225,5343,5882,9459,4342,5117,7963,3506,4457,5623,2402,3221,3489,1362,2127,3286,1153,2133,39.1,37.8,40.2
45591,48932,52152,0.856467605,OH,"Canton-Massillon, OH",6,Canton-Massillon,-81.52,40.77,400525,196508,204017,21789,11125,10664,43202,22303,20899,20922,10811,10111,32937,16609,16328,325019,157671,167348,314612,152269,162343,143643,72110,71533,95041,47384,47657,105500,51976,53524,81134,36300,44834,21789,11125,10664,23300,12090,11210,25159,12907,12252,24981,12849,12132,23621,11877,11744,23789,11947,11842,24322,12009,12313,23516,11815,11701,23414,11613,11801,22541,11082,11459,25948,13040,12908,27679,13646,14033,29332,14208,15124,26180,12481,13699,22298,10465,11833,14051,6286,7765,9464,3962,5502,9141,3106,6035,42,40.7,43.4
56549,59300,62885,0.900905715,FL,"Cape Coral-Fort Myers, FL",21,"Cape Coral-Fort Myers, FL",-81.86,26.6,787976,387966,400010,35036,17966,17070,68403,35176,33227,32655,16842,15813,53241,26791,26450,668002,326318,341684,651882,317982,333900,245335,123772,121563,167792,84453,83339,201919,97278,104641,228930,109460,119470,35036,17966,17070,36839,18991,17848,39917,20499,19418,39384,20259,19125,38159,19060,19099,40752,20540,20212,43399,21712,21687,42630,21548,21082,41011,20653,20358,41501,20537,20964,47329,23176,24153,53709,25568,28141,59380,27997,31383,61127,28643,32484,63381,30267,33114,48112,23612,24500,30495,15040,15455,25815,11898,13917,49.5,48.2,50.6
42998,45994,48447,0.894352185,MOIL,"CapeGirardeau, MOIL",3,Cape Girardeau,-89.58,37.3,97699,47811,49888,5489,2827,2662,10558,5497,5061,4968,2531,2437,12225,5716,6509,79105,38181,40924,76684,36956,39728,39331,19359,19972,23433,11772,11661,23297,11553,11744,17729,7915,9814,5489,2827,2662,5756,2975,2781,6097,3182,2915,7099,3418,3681,8799,4169,4630,6061,3060,3001,5917,2949,2968,5828,2917,2911,5627,2846,2781,5256,2602,2654,5535,2726,2809,6098,3059,3039,6408,3166,3242,5692,2655,3037,4748,2247,2501,3100,1387,1713,2098,883,1215,2091,743,1348,38.1,37.2,39
42199,45463,48769,0.894352185,IL,"Carbondale-Marion, IL",4,Carbondale-Marion,-88.98,37.75,132907,67340,65567,6931,3590,3341,13662,7087,6575,6278,3229,3049,16791,8837,7954,109201,55075,54126,106036,53434,52602,54230,28409,25821,32709,17137,15572,31679,16067,15612,24857,11393,13464,6931,3590,3341,7584,3932,3652,7626,3949,3677,9030,4668,4362,12491,6604,5887,8308,4344,3964,8433,4420,4013,8056,4225,3831,7912,4148,3764,7390,3918,3472,7566,3865,3701,8158,4056,4102,8565,4228,4337,7720,3734,3986,6946,3344,3602,4502,2031,2471,2994,1285,1709,2695,999,1696,38.8,37.6,40.1
50973,55239,60445,0.881217075,NV,"CarsonCity, NV",6,Carson City,-119.78,39.2,58993,30339,28654,3089,1543,1546,5966,2990,2976,2863,1471,1392,4367,2337,2030,48466,25068,23398,47075,24335,22740,21415,11696,9719,14917,8255,6662,15380,8003,7377,12411,5740,6671,3089,1543,1546,3262,1630,1632,3436,1727,1709,3295,1704,1591,3203,1737,1466,3800,2093,1707,4008,2220,1788,3704,2080,1624,3405,1862,1543,3253,1769,1484,3669,1995,1674,4068,2078,1990,4390,2161,2229,3928,1889,2039,3496,1664,1832,2381,1104,1277,1443,649,794,1163,434,729,42.4,41.2,44
69791,67229,70175,0.83788405,WY,"Casper, WY",4,Casper,-106.33,42.86,79555,40294,39261,4751,2448,2303,9822,5090,4732,4535,2342,2193,6155,3191,2964,62655,31536,31119,60447,30414,30033,31645,16278,15367,22135,11367,10768,19022,9663,9359,13135,6193,6942,4751,2448,2303,5327,2786,2541,5675,2926,2749,5174,2670,2504,4336,2241,2095,5129,2609,2520,5744,2948,2796,5870,3061,2809,5392,2749,2643,4428,2279,2149,4426,2281,2145,4735,2355,2380,5433,2748,2685,4794,2412,2382,3623,1797,1826,2067,959,1108,1304,566,738,1347,459,888,38.1,37.4,38.8
52697,55865,59063,0.909252285,IA,"Cedar-Rapids, IA",9,Cedar Rapids,-91.66,41.96,275435,137242,138193,16073,8141,7932,31451,16089,15362,14962,7653,7309,23816,11970,11846,220426,109193,111233,212949,105359,107590,106965,54413,52552,71916,36688,35228,69774,35099,34675,47443,21602,25841,16073,8141,7932,17039,8745,8294,18141,9242,8899,17956,9125,8831,17093,8600,8493,17606,9013,8593,17759,9080,8679,18394,9315,9079,18157,9280,8877,16185,8169,8016,17202,8751,8451,18356,9241,9115,18031,8938,9093,15353,7579,7774,12747,5944,6803,8203,3744,4459,5476,2332,3144,5664,2003,3661,39.4,38.6,40.2
47211,51362,55335,0.8750876,IL,"Champaign-Urbana, IL",8,Champaign-Urbana,-88.23,40.11,222696,110851,111845,11704,6004,5700,21523,10966,10557,9807,4986,4821,47377,24695,22682,184633,91461,93172,179662,88895,90767,110487,56461,54026,55760,28005,27755,44853,21984,22869,31672,14211,17461,11704,6004,5700,12038,6154,5884,11942,6037,5905,21533,11000,10533,33194,17456,15738,15425,7863,7562,14241,7182,7059,13636,6805,6831,12458,6155,6303,11007,5447,5560,10843,5438,5405,11065,5347,5718,11938,5752,6186,10910,5111,5799,8507,4022,4485,5198,2363,2835,3429,1395,2034,3628,1320,2308,31.9,30.6,33.2
45195,48229,51638,0.8545845,WV,"Charleston, WV",3,Charleston,-81.71,38.34,255020,124832,130188,12816,6531,6285,26406,13389,13017,12772,6622,6150,18911,9643,9268,209462,101627,107835,203026,98290,104736,88827,44682,44145,60357,30082,30275,68911,33861,35050,54847,24704,30143,12816,6531,6285,14245,7143,7102,15374,7911,7463,14912,7773,7139,13558,6827,6731,15062,7617,7445,14930,7435,7495,14404,7152,7252,15961,7878,8083,15629,7843,7786,16678,8257,8421,17581,8558,9023,19023,9203,9820,18178,8552,9626,15624,7300,8324,9429,4282,5147,6159,2580,3579,5457,1990,3467,43.8,42.6,45.1
54809,57713,62056,0.91729908,NCSC,"Charlotte-Concord-Gastonia, NC-SC",75,Charlotte-Concord-Gastonia,-81.13,35.26,2701046,1317304,1383742,157746,80857,76889,317587,162162,155425,150773,76840,73933,227654,113352,114302,2149263,1035125,1114138,2074940,997445,1077495,1096069,540407,555662,756165,369913,386252,706524,345044,361480,384597,169136,215461,157746,80857,76889,170708,87092,83616,185402,94768,90634,177954,90442,87512,161950,80052,81898,185725,91790,93935,196193,95535,100658,188448,92237,96211,185799,90351,95448,181823,88473,93350,189152,93309,95843,176393,86417,89976,159156,76845,82311,129647,60143,69504,109708,49533,60175,69050,30548,38502,40985,16904,24081,35207,12008,23199,38.1,37.1,39
69409,72025,77070,0.7655556,VA,"Charlottesville, VA",9,Charlottesville,-78.44,38.03,222688,107248,115440,11417,5823,5594,21306,10900,10406,9806,5101,4705,25963,12487,13476,185013,87945,97068,180159,85424,94735,91511,44541,46970,58245,28231,30014,53628,25733,27895,42323,18973,23350,11417,5823,5594,11573,5882,5691,12236,6296,5940,15499,7662,7837,17767,8648,9119,14861,7115,7746,15332,7405,7927,14513,7128,7385,13539,6583,6956,11926,5861,6065,13171,6423,6748,13943,6560,7383,14588,6889,7699,13740,6350,7390,11943,5494,6449,7454,3408,4046,4789,2104,2685,4397,1617,2780,39.3,38.3,40.3
48210,50566,53906,0.8228005,TNGA,"Chattanooga, TN-GA",7,Chattanooga,-85.3,35.05,567641,276778,290863,31374,16051,15323,59827,30742,29085,28070,14407,13663,46981,23478,23503,462247,222698,239549,448370,215578,232792,216591,107652,108939,148771,73492,75279,147070,71784,75286,105548,46824,58724,31374,16051,15323,32564,16662,15902,34494,17805,16689,34327,17275,17052,33493,16885,16608,37706,18736,18970,39557,19296,20261,36090,17939,18151,35418,17521,17897,34448,17014,17434,36816,18165,18651,37831,18476,19355,37975,18129,19846,34441,16160,18281,29333,13538,15795,18777,8395,10382,11928,4921,7007,11069,3810,7259,40.6,39.4,41.8
53181,54959,58646,0.909252285,WY,"Cheyenne, WY",7,Cheyenne,-104.76,41.16,100863,51230,49633,5828,2939,2889,11732,6029,5703,5382,2720,2662,9023,4947,4076,80573,40883,39690,77921,39542,38379,40681,21332,19349,27637,14345,13292,24078,12213,11865,17183,8037,9146,5828,2939,2889,6232,3241,2991,6861,3468,3393,6295,3265,3030,6749,3722,3027,6974,3627,3347,7293,3784,3509,7187,3702,3485,6183,3232,2951,5462,2811,2651,5726,2940,2786,6337,3226,3111,6553,3236,3317,5777,2816,2961,4843,2336,2507,2923,1397,1526,1833,811,1022,1807,677,1130,37.9,37.1,38.7
63024,66474,71992,0.9140797,ILINWI,"Chicago-Naperville-Elgin, IL-IN-WI",198,Chicago-Naperville-Elgin,-88.34,42.03,9509934,4684813,4825121,531456,271155,260301,1073159,548468,524691,518471,264523,253948,836096,422937,413159,7646341,3733306,3913035,7386848,3600667,3786181,3855888,1939402,1916486,2631406,1318088,1313318,2436748,1203961,1232787,1482598,655681,826917,531456,271155,260301,578473,295503,282970,624771,319111,305660,627340,321319,306021,597142,299995,297147,663187,331272,331915,669886,336217,333669,662852,332907,329945,635481,317692,317789,595395,296208,299187,619709,308695,311014,620235,306646,313589,601409,292412,308997,499813,237123,262690,399386,183332,216054,255000,111727,143273,163931,67003,96928,164468,56496,107972,38.5,37.5,39.5
46174,51402,54694,0.8228005,CA,"Chico, CA",8,Chico,-121.84,39.74,208309,103590,104719,11014,5653,5361,21496,11073,10423,9927,5043,4884,30233,15115,15118,170825,84303,86522,165872,81821,84051,89449,45595,43854,51797,26754,25043,45850,22615,23235,37992,17337,20655,11014,5653,5361,11794,6085,5709,12210,6305,5905,14940,7368,7572,22712,11473,11239,14018,7241,6777,13153,6836,6317,12657,6454,6203,11969,6223,5746,10371,5252,5119,10967,5521,5446,11699,5619,6080,12813,6223,6590,12298,5836,6462,10790,5167,5623,6585,3026,3559,4133,1823,2310,4186,1485,2701,36.7,35.7,37.8
56152,59502,63116,0.867928865,OHKYIN,"Cincinnati, OH-KY-IN",40,Cincinnati,-84.33,39.27,2259935,1116162,1143773,135001,68820,66181,265038,135412,129626,124572,63559,61013,208323,106049,102274,1797071,879900,917171,1735324,848371,886953,891447,448697,442750,590310,295270,295040,573506,283650,289856,363185,163402,199783,135001,68820,66181,144093,73728,70365,152703,77865,74838,154238,78802,75436,146899,74625,72274,148055,74857,73198,152806,76339,76467,147957,73718,74239,141492,70356,71136,130268,65046,65222,143461,71459,72002,150184,74258,75926,149593,72887,76706,125653,60118,65535,100323,46662,53661,60660,27220,33440,39599,16493,23106,36950,12909,24041,38.2,37.2,39.3
