2019,2020,2021,prediction_mean,State/Province_x,City_State,Count,City,Longitude,Latitude,POPESTIMATE,POPEST_MALE,POPEST_FEMALE,UNDER5_TOTAL,UNDER5_MALE,UNDER5_FEMALE,AGE513_TOTAL,AGE513_MALE,AGE513_FEMALE,AGE1417_TOTAL,AGE1417_MALE,AGE1417_FEMALE,AGE1824_TOTAL,AGE1824_MALE,AGE1824_FEMALE,AGE16PLUS_TOTAL,AGE16PLUS_MALE,AGE16PLUS_FEMALE,AGE18PLUS_TOTAL,AGE18PLUS_MALE,AGE18PLUS_FEMALE,AGE1544_TOTAL,AGE1544_MALE,AGE1544_FEMALE,AGE2544_TOTAL,AGE2544_MALE,AGE2544_FEMALE,AGE4564_TOTAL,AGE4564_MALE,AGE4564_FEMALE,AGE65PLUS_TOTAL,AGE65PLUS_MALE,AGE65PLUS_FEMALE,AGE04_TOTAL,AGE04_MALE,AGE04_FEMALE,AGE59_TOTAL,AGE59_MALE,AGE59_FEMALE,AGE1014_TOTAL,AGE1014_MALE,AGE1014_FEMALE,AGE1519_TOTAL,AGE1519_MALE,AGE1519_FEMALE,AGE2024_TOTAL,AGE2024_MALE,AGE2024_FEMALE,AGE2529_TOTAL,AGE2529_MALE,AGE2529_FEMALE,AGE3034_TOTAL,AGE3034_MALE,AGE3034_FEMALE,AGE3539_TOTAL,AGE3539_MALE,AGE3539_FEMALE,AGE4044_TOTAL,AGE4044_MALE,AGE4044_FEMALE,AGE4549_TOTAL,AGE4549_MALE,AGE4549_FEMALE,AGE5054_TOTAL,AGE5054_MALE,AGE5054_FEMALE,AGE5559_TOTAL,AGE5559_MALE,AGE5559_FEMALE,AGE6064_TOTAL,AGE6064_MALE,AGE6064_FEMALE,AGE6569_TOTAL,AGE6569_MALE,AGE6569_FEMALE,AGE7074_TOTAL,AGE7074_MALE,AGE7074_FEMALE,AGE7579_TOTAL,AGE7579_MALE,AGE7579_FEMALE,AGE8084_TOTAL,AGE8084_MALE,AGE8084_FEMALE,AGE85PLUS_TOTAL,AGE85PLUS_MALE,AGE85PLUS_FEMALE,MEDIAN_AGE_TOTAL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE
70129,77181,85554,0.81679322,CA,"Santa Cruz-Watsonville, CA",5,Santa Cruz-Watsonville,-121.77,36.92,267792,133004,134788,11880,6050,5830,25555,13120,12435,12365,6321,6044,39108,19165,19943,224153,110644,113509,217992,107513,110479,112309,56403,55906,63974,32561,31413,65975,32915,33060,48935,22872,26063,11880,6050,5830,13892,7105,6787,14801,7659,7142,22216,10848,11368,26119,12994,13125,16252,8353,7899,15725,8112,7613,16059,8133,7926,15938,7963,7975,15154,7678,7476,16637,8484,8153,16706,8219,8487,17478,8534,8944,16942,8228,8714,14443,7102,7341,8303,3834,4469,4590,2035,2555,4657,1673,2984,39.1,38.3,39.8
61879,65042,69528,0.83788405,NM,"Santa Fe, NM",10,Santa Fe,-105.95,35.68,155201,75724,79477,5936,3049,2887,13219,6696,6523,7020,3444,3576,10988,5620,5368,132532,64236,68296,129026,62535,66491,51544,26133,25411,35275,17951,17324,41435,19996,21439,41328,18968,22360,5936,3049,2887,6799,3487,3312,8159,4091,4068,8447,4171,4276,7822,4011,3811,8179,4139,4040,8849,4478,4371,9351,4822,4529,8896,4512,4384,8616,4297,4319,9623,4793,4830,10854,5161,5693,12342,5745,6597,13053,5938,7115,12828,6085,6743,7935,3722,4213,4181,1935,2246,3331,1288,2043,48.1,46.3,49.7
63586,69457,73995,0.89940305,CA,"Santa Maria-Santa Barbara, CA",17,Santa Maria-Santa Barbara,-119.65,34.42,446475,224232,222243,26713,13562,13151,50148,25774,24374,22626,11456,11170,67970,33707,34263,358188,179093,179095,346988,173440,173548,196574,101012,95562,111722,58774,52948,95899,48256,47643,71397,32703,38694,26713,13562,13151,27659,14295,13364,28233,14404,13829,37228,18219,19009,47624,24019,23605,31379,16445,14934,28276,14968,13308,27158,14356,12802,24909,13005,11904,22706,11676,11030,23632,12100,11532,24640,12250,12390,24921,12230,12691,22247,10741,11506,18799,8940,9859,12568,5760,6808,8445,3702,4743,9338,3560,5778,34.3,33.6,35
66715,73526,81006,0.79298097,CA,"Santa Rosa-Petaluma, CA",30,Santa Rosa-Petaluma,-122.63,38.24,485887,238854,247033,22218,11410,10808,47063,23992,23071,23583,12098,11485,38027,19046,18981,404773,197396,207377,393023,191354,201669,180018,91346,88672,124325,63232,61093,128053,62953,65100,102618,46123,56495,22218,11410,10808,24900,12605,12295,28080,14417,13663,29444,14870,14574,26249,13244,13005,28777,14687,14090,31543,16141,15402,32521,16492,16029,31484,15912,15572,28548,14484,14064,31318,15712,15606,33441,16207,17234,34746,16550,18196,33207,15558,17649,29858,13778,16080,18612,8454,10158,10486,4520,5966,10455,3813,6642,43,41.7,44.3
47046,50432,53570,0.89779128,GA,"Savannah, GA",15,Savannah,-81.23,32.14,410008,199276,210732,24545,12624,11921,46948,24171,22777,21181,10696,10485,40564,20021,20543,327718,156990,170728,317334,151785,165549,174187,85881,88306,117896,57949,59947,96711,46400,50311,62163,27415,34748,24545,12624,11921,26050,13425,12625,26352,13531,12821,27742,13683,14059,28549,14249,14300,30604,15245,15359,31120,15260,15860,29572,14618,14954,26600,12826,13774,23621,11579,12042,24061,11718,12343,24848,11822,13026,24181,11281,12900,21065,9555,11510,17482,7967,9515,11028,4917,6111,6622,2811,3811,5966,2165,3801,36.7,35.5,37.8
77788,82342,89274,0.870220565,WA,"Seattle-Tacoma-Bellevue, WA",214,Seattle-Tacoma-Bellevue,-122.15,47.6,4011553,2026630,1984923,225733,115623,110110,431972,221053,210919,188533,96622,91911,317628,163972,153656,3257954,1640700,1617254,3165315,1593332,1571983,1751167,907007,844160,1293758,671421,622337,990854,502969,487885,563075,254970,308105,225733,115623,110110,238787,122362,116425,241937,123699,118238,224167,114465,109702,233242,121121,112121,318165,166028,152137,356371,185275,171096,331864,172094,159770,287358,148024,139334,252499,129012,123487,258424,132471,125953,246068,124869,121199,233863,116617,117246,196054,94167,101887,154538,71698,82840,96762,43632,53130,57965,24588,33377,57756,20885,36871,37.5,36.8,38.2
52696,55282,58425,0.890290915,WI,"Sheboygan, WI",3,Sheboygan,-87.72,43.76,117747,59880,57867,6229,3235,2994,12974,6623,6351,6455,3304,3151,9537,5124,4413,95272,48355,46917,92089,46718,45371,42615,22425,20190,28272,14840,13432,31885,16365,15520,22395,10389,12006,6229,3235,2994,6845,3508,3337,7778,3958,3820,7427,3887,3540,6916,3698,3218,7195,3802,3393,6593,3473,3120,7333,3808,3525,7151,3757,3394,6760,3462,3298,7661,4061,3600,8690,4440,4250,8774,4402,4372,7587,3780,3807,6088,2937,3151,3833,1729,2104,2482,1072,1410,2405,871,1534,41.7,40.7,42.9
47762,51262,55198,0.8750876,LA,"Shreveport-Bossier City, LA",11,Shreveport-Bossier City,-93.7,32.53,389155,187773,201382,24140,12272,11868,47746,24252,23494,21232,10814,10418,32735,16828,15907,306471,145763,160708,296037,140435,155602,151366,74712,76654,102875,49860,53015,92878,44415,48463,67549,29332,38217,24140,12272,11868,26356,13335,13021,26866,13707,13159,24774,12773,12001,23717,12079,11638,24977,12273,12704,26674,12746,13928,26548,12841,13707,24676,12000,12676,21897,10560,11337,22227,10622,11605,23831,11496,12335,24923,11737,13186,22483,10298,12185,18449,8334,10115,11555,5014,6541,7729,3094,4635,7333,2592,4741,38.2,36.8,39.5
41557,46909,49096,0.894352185,AZ,"Sierra Vista-Douglas, AZ",5,Sierra Vista-Douglas,-110.94,31.37,47883,23249,24634,3162,1630,1532,6293,3195,3098,3111,1557,1554,4268,2174,2094,36846,17631,19215,35317,16867,18450,17420,8566,8854,10835,5240,5595,11039,5233,5806,9175,4220,4955,3162,1630,1532,3396,1738,1658,3691,1862,1829,3623,1778,1845,2962,1548,1414,2884,1406,1478,2717,1361,1356,2556,1224,1332,2678,1249,1429,2673,1229,1444,2697,1304,1393,2738,1300,1438,2931,1400,1531,2857,1269,1588,2510,1180,1330,1811,884,927,1130,517,613,867,370,497,37.9,36.1,39.5
63690,67689,71570,0.866361665,SD,"Sioux Falls, SD",11,Sioux Falls,-96.77,43.51,281958,142721,139237,19639,10062,9577,37158,19194,17964,15843,8155,7688,23415,11862,11553,217036,109305,107731,209318,105310,104008,116253,59934,56319,81097,42027,39070,64990,33077,31913,39816,18344,21472,19639,10062,9577,20467,10570,9897,20793,10734,10059,18187,9356,8831,16969,8551,8418,19915,10177,9738,20889,10760,10129,21286,11146,10140,19007,9944,9063,15773,8150,7623,15637,8113,7524,16719,8414,8305,16861,8400,8461,14775,7222,7553,11240,5540,5700,5990,2710,3280,3592,1465,2127,4219,1407,2812,36,35.5,36.4
